id,track_name,artist_name,album_name,external_url,release_date,acousticness,danceability,duration_ms,energy,explicit,instrumentalness,key,liveness,loudness,mode,popularity,speechiness,tempo,valence
5vjR4LUikpN6LhpxRWK6k2,Roam,The Story So Far,Under Soil and Dirt,https://open.spotify.com/track/5vjR4LUikpN6LhpxRWK6k2,2011-06-21,0.000569,0.507,174573,0.995,0,1.28e-05,4,0.0686,-2.355,1,49,0.0829,123.889,0.219
3B0hzwc1e8AYOytj9hZS2I,ULTRAnumb,Blue Stahli,Blue Stahli (Deluxe Edition),https://open.spotify.com/track/3B0hzwc1e8AYOytj9hZS2I,2011-03-02,0.000184,0.439,265435,0.915,0,0.000899,2,0.326,-7.0779999999999985,0,57,0.0745,91.993,0.34
36hZ7e1xqFtskCjKJyzaUy,Quién Eres Tú,Grupo Laberinto,El Parrandero,https://open.spotify.com/track/36hZ7e1xqFtskCjKJyzaUy,2011-01-06,0.677,0.7559999999999999,177345,0.477,0,7.4999999999999985e-06,7,0.0898,-5.99,1,50,0.0606,115.266,0.967
4Eeq5qMOQ8VV5IfPxVX1Zh,Amor Te Amo,Tierra Cali,12 Alegres y Calentanos Exitos,https://open.spotify.com/track/4Eeq5qMOQ8VV5IfPxVX1Zh,2011-01-01,0.279,0.495,217027,0.862,0,3.53e-06,9,0.0619,-4.436,1,49,0.0746,117.895,0.762
21FyeXi7sykXk9HRlf3Aul,Semper Fi,Trace Adkins,Proud To Be Here (Deluxe Edition),https://open.spotify.com/track/21FyeXi7sykXk9HRlf3Aul,2011-01-01,0.0234,0.557,228427,0.403,0,0.0124,11,0.0914,-8.947000000000003,1,47,0.0309,129.637,0.202
4Nomj38R7Ds0P8I8orW2Tv,Out of My Head (feat. Trey Songz),Lupe Fiasco,Lasers,https://open.spotify.com/track/4Nomj38R7Ds0P8I8orW2Tv,2011-03-04,0.0145,0.588,204013,0.847,0,0.0,11,0.436,-4.734,0,49,0.0675,99.058,0.38
2H2Tg24kqd1eA3F7BSQFSi,Qué Voy a Hacer Con Mi Amor,Alejandro Fernández,Lo Esencial De Alejandro Fernández,https://open.spotify.com/track/2H2Tg24kqd1eA3F7BSQFSi,2011-08-16,0.38,0.536,245133,0.457,0,1.27e-05,1,0.1689999999999999,-8.785,1,63,0.0405,165.69299999999996,0.499
5n44Y1e8exufbm9mmAvopf,Goodbye Brother,Ramin Djawadi,Game Of Thrones (Music From The HBO Series),https://open.spotify.com/track/5n44Y1e8exufbm9mmAvopf,2011-01-01,0.7140000000000001,0.17,187280,0.0234,0,0.8909999999999999,3,0.118,-28.042,1,56,0.0452,127.138,0.0326
0tGkExOwqbXyl9rp3gO89b,Downtown Girl,Hot Chelle Rae,Whatever,https://open.spotify.com/track/0tGkExOwqbXyl9rp3gO89b,2011-11-25,0.00998,0.6759999999999999,176587,0.731,0,0.0,7,0.251,-5.603,1,50,0.0362,118.023,0.7759999999999999
6aVJQcBuTixMKRbpZYdohf,Pieces Of Me,Ledisi,Pieces Of Me,https://open.spotify.com/track/6aVJQcBuTixMKRbpZYdohf,2011-01-01,0.153,0.6809999999999999,202733,0.7040000000000001,0,0.0,8,0.134,-4.417,1,48,0.0578,126.022,0.5539999999999999
6vhRmymsQaWhVegaK7aTDe,Can You Feel It (feat. Wiz Khalifa),Sublime With Rome,Yours Truly (Deluxe Edition),https://open.spotify.com/track/6vhRmymsQaWhVegaK7aTDe,2011-07-08,0.0395,0.7040000000000001,216160,0.836,0,0.0,5,0.458,-4.43,0,47,0.0478,161.894,0.8640000000000001
5d6nTdahyEnH1TILFC0Tp3,Just The Way You Are,Pierce The Veil,"Punk Goes Pop, Vol. 4",https://open.spotify.com/track/5d6nTdahyEnH1TILFC0Tp3,2011-11-21,0.000878,0.45,223347,0.907,0,0.0,5,0.256,-3.73,1,52,0.073,108.135,0.344
3I4wuL82QeU3IR518TuV33,Only If For A Night,Florence + The Machine,Ceremonials (Deluxe Edition),https://open.spotify.com/track/3I4wuL82QeU3IR518TuV33,2011-01-01,0.0402,0.485,298333,0.737,0,0.0,9,0.0923,-5.947,0,47,0.033,79.961,0.384
20fQVuio8RcGPleqONoGx6,Camuflaje,Alexis y Fido,Perreología,https://open.spotify.com/track/20fQVuio8RcGPleqONoGx6,2011-03-21,0.423,0.743,218000,0.821,0,0.0,3,0.325,-6.0470000000000015,0,62,0.06,82.061,0.828
0R97k5AJy1udJI6mGV82FJ,Dirty Mind,3OH!3,Dirty Mind,https://open.spotify.com/track/0R97k5AJy1udJI6mGV82FJ,2011-12-20,0.0318,0.642,197602,0.861,1,0.0,4,0.23,-3.837,1,51,0.294,92.912,0.5820000000000001
3FsR3a2GxUmEwnpCy8kQfj,iBETiGOTSUMWEED,ScHoolboy Q,Setbacks,https://open.spotify.com/track/3FsR3a2GxUmEwnpCy8kQfj,2011-01-11,0.524,0.703,295642,0.616,1,0.0,1,0.348,-7.598,1,49,0.175,68.546,0.485
6iw32k0OUKHildYsQTRnVB,"Flightless Bird, American Mouth - Wedding Version",Iron & Wine,The Twilight Saga: Breaking Dawn - Part 1 (Original Motion Picture Soundtrack),https://open.spotify.com/track/6iw32k0OUKHildYsQTRnVB,2011-11-04,0.965,0.245,267120,0.242,0,0.0083299999999999,4,0.271,-12.963,1,46,0.0318,135.714,0.138
3xfaeVCJtqH54aZlJalvdr,Cielo - 2002,Benny,Ximena Sarinana & Benny / Frente a Frente,https://open.spotify.com/track/3xfaeVCJtqH54aZlJalvdr,2011-08-02,0.00245,0.589,225907,0.6859999999999999,0,0.0,7,0.121,-6.0760000000000005,1,58,0.0268,120.991,0.6709999999999999
46aIq2GKW7Vr6i4g2Vvycd,Ai Se Eu Te Pego - Ao Vivo,Michel Teló,Na Balada (Ao Vivo),https://open.spotify.com/track/46aIq2GKW7Vr6i4g2Vvycd,2011-08-21,0.222,0.65,170493,0.947,0,0.0,11,0.979,-5.3260000000000005,1,64,0.0717,96.035,0.6940000000000001
